"song_name"
"""Zamaana Lage (From """"Metro ... In Dino"""")"""
"""Dil Ka Kya (From """"Metro ... In Dino"""")"""
"Ishq Mera (Feat. Esha Gupta)"
"Raatein Guzaari"
"""Sajde - From """"Lost;Found"""""""
"Kithe Vasde Ne"
"Phirse Milo"
"Uff"
"""Dil E Nadaan (From """"Housefull 5"""")"""
"Yahaan - City Sessions - Side A"
"Ho Jaa"
"Heart & Pain"
"""Sar Aankhon Pe Mere - From """"Sitaare Zameen Par"""""""
